22:02:41:	L_Sen	M_Sen	R_Sen	Dis	Rew	Act
22:02:41:	0	0	0	30	-1	0
22:02:42:	0	0	0	31	-1	0
22:02:42:	0	0	0	31	-1	0
22:02:43:	0	0	0	30	-1	0
22:02:43:	0	0	0	29	-1	0
22:02:44:	0	0	0	32	-1	0
22:02:44:	0	1	0	29	0.1	0
22:02:45:	0	1	1	29	0.1	0
22:02:45:	0	1	1	29	0.1	0
22:02:46:	0	0	0	31	-1	0
22:02:46:	0	0	0	30	-1	0
22:02:47:	0	0	0	30	-1	0
22:02:47:	0	0	0	30	-1	0
22:02:48:	0	0	0	30	-1	0
22:02:48:	0	0	0	31	-1	0
22:02:49:	0	0	0	30	-1	0
22:02:50:	0	0	0	29	-1	0
22:02:50:	0	1	0	29	0.1	0
22:02:51:	0	1	0	30	0.1	0
22:02:51:	0	1	0	29	0.1	0
22:02:52:	0	1	0	29	0.1	0
22:02:52:	0	1	0	37	0.1	0
22:02:53:	0	1	0	28	0.1	0
22:02:53:	0	1	0	28	0.1	0
22:02:54:	0	1	0	7	0.1	0
22:02:54:	0	1	0	29	0.1	0
22:02:55:	0	1	0	28	0.1	0
22:02:55:	0	0	1	29	0.1	0
22:02:56:	0	1	1	32	0.1	0
22:02:56:	0	1	1	30	0.1	0
22:02:57:	0	1	1	29	0.1	0
22:02:57:	0	0	0	29	-1	0
22:02:58:	1	0	0	16	0.1	0
22:02:58:	1	1	0	28	0.1	0
22:02:59:	1	1	0	28	0.1	0
22:02:59:	1	0	0	28	0.1	0
22:03:00:	0	1	0	29	0.1	0
22:03:01:	0	1	0	29	0.1	0
22:03:01:	0	1	0	29	0.1	0
22:03:02:	0	0	0	29	-1	0
22:03:02:	0	0	0	30	-1	0
22:03:03:	0	0	0	30	-1	0
22:03:03:	0	0	0	29	-1	0
22:03:04:	0	0	0	29	-1	0
22:03:04:	0	0	0	30	-1	0
22:03:05:	0	0	0	30	-1	0
22:03:05:	0	0	0	30	-1	0
22:03:06:	0	0	0	30	-1	0
22:03:06:	0	0	0	29	-1	0
22:03:07:	0	0	0	29	-1	0
22:03:07:	0	0	0	30	-1	0
22:03:08:	1	1	1	28	0.1	0
22:03:08:	0	0	0	37	-1	0
22:03:09:	1	1	0	34	0.1	0
22:03:09:	0	0	0	16	-1	0
22:03:10:	1	0	0	9	0.1	0
22:03:10:	0	0	0	6	-1	0
22:03:11:	0	0	0	17	-1	0
22:03:12:	1	1	0	6	0.1	0
22:03:12:	0	0	0	16	-1	0
22:03:13:	0	0	0	16	-1	0
22:03:13:	0	1	1	29	0.1	0
22:03:14:	0	0	0	50	-1	0
22:03:14:	1	1	0	7	0.1	0
22:03:15:	1	0	0	15	0.1	0
22:03:15:	1	0	0	11	0.1	0
22:03:16:	0	0	0	15	-1	0
22:03:16:	0	0	0	13	-1	0
22:03:17:	0	0	0	28	-1	0
22:03:17:	0	1	1	28	0.1	0
22:03:18:	1	0	0	14	0.1	0
22:03:18:	1	1	0	7	0.1	0
22:03:19:	1	0	0	16	0.1	0
22:03:19:	1	1	0	5	0.1	0
22:03:20:	1	1	1	10	0.1	0
22:03:20:	1	1	1	4	0.1	0
22:03:21:	1	1	1	7	0.1	0
22:03:21:	1	1	1	16	0.1	0
22:03:22:	1	1	1	16	0.1	0
22:03:22:	1	0	1	6	0.1	0
22:03:23:	0	1	1	15	0.1	0
22:03:24:	0	0	0	43	-1	0
22:03:24:	0	1	1	14	0.1	0
22:03:25:	0	0	0	28	-1	0
22:03:25:	1	1	0	28	0.1	0
22:03:26:	0	0	0	28	-1	0
22:03:26:	0	0	0	30	-1	0
22:03:27:	0	0	0	30	-1	0
22:03:27:	0	0	0	30	-1	0
