A,,B,,C,
T,V,T,V,T,V
0,26.65401,0,202.8699,0,35.11034
4.81E-02,22.69339,4.81E-02,207.2263,4.81E-02,39.96322
9.61E-02,26.1955,9.61E-02,208.1202,9.61E-02,30.92414
0.1441555,24.58087,0.1441555,205.7355,0.1441555,32.50345
0.1922035,24.35162,0.1922035,203.3253,0.1922035,35.49425
0.2402496,25.69339,0.2402496,208.1103,0.2402496,34.29195
0.2882938,26.45288,0.2882938,218.9717,0.2882938,32.47356
0.3363361,24.83826,0.3363361,214.669,0.3363361,34.62069
0.3843765,26.19128,0.3843765,223.2603,0.3843765,38.40689
0.432415,22.98734,0.432415,222.1202,0.432415,42.15402
0.4804516,24.35724,0.4804516,216.2475,0.4804516,40.48046
0.5284863,31.37834,0.5284863,219.1188,0.5284863,35.87586
0.576519,35.50914,0.576519,225.331,0.576519,28.32874
0.6245499,32.38537,0.6245499,225.2362,0.6245499,39.32644
0.6725788,38.96484,0.6725788,230.6322,0.6725788,37.51954
0.7206059,41.80731,0.7206059,220.8402,0.7206059,38.76781
0.768631,36.3263,0.768631,225.1542,0.768631,32.65977
0.8166542,32.41631,0.8166542,227.2305,0.8166542,35.91264
0.8646755,26.0436,0.8646755,223.0792,0.8646755,45.36552
0.9126949,26.72152,0.9126949,220.4215,0.9126949,32.86437
0.9607124,36.55696,0.9607124,228.6322,0.9607124,38.16552
1.008728,21.88748,1.008728,228.6082,1.008728,34.05058
1.056742,20.14487,1.056742,228.8388,1.056742,39.30575
1.104753,28.73277,1.104753,235.7878,1.104753,40.76552
1.152763,29.00844,1.152763,240.8175,1.152763,39.08046
1.200771,25.46976,1.200771,234.3819,1.200771,39.13103
1.248777,30.40788,1.248777,239.3409,1.248777,42.0092
1.296782,28.35584,1.296782,244.5559,1.296782,42.56322
1.344784,28.73418,1.344784,231.0325,1.344784,42.33563
1.392784,24.74684,1.392784,237.0325,1.392784,44.08966
1.440783,25.37412,1.440783,239.0721,1.440783,39.93333
1.488779,23.98031,1.488779,245.4526,1.488779,43.96782
1.536774,29.35021,1.536774,247.5898,1.536774,44.42989
1.584766,33.18425,1.584766,252.0509,1.584766,39.78621
1.632757,27.08298,1.632757,232.3607,1.632757,39.10575
1.680746,26.54852,1.680746,239.9844,1.680746,36.54943
1.728733,24.20535,1.728733,239.2843,1.728733,32.07816
1.776718,28.62307,1.776718,243.1499,1.776718,40.62069
1.824701,32.26442,1.824701,245.785,1.824701,46.81379
1.872683,24.95921,1.872683,252.2631,1.872683,38.92184
1.920662,30.67089,1.920662,257.9745,1.920662,52.46896
1.968639,24.00141,1.968639,255.7808,1.968639,46.8092
2.016617,27.8692,2.016617,259.942,2.016617,44.65977
2.064592,27.1308,2.064592,288.0056,2.064592,55.68736
2.112566,27.55837,2.112566,302.2504,2.112566,52.07127
2.160538,34.40084,2.160538,311.5488,2.160538,48.42529
2.208508,28.45851,2.208508,348.3197,2.208508,41.40689
2.256475,33.02954,2.256475,417.3578,2.256475,46.21149
2.304441,29.4557,2.304441,532.2772,2.304441,44.81149
2.352406,30.75949,2.352406,639.0623,2.352406,52.57471
2.400368,33.76512,2.400368,746.5658,2.400368,57.85747
2.448328,36.06189,2.448328,837.273,2.448328,70.17242
2.496286,45.20394,2.496286,920.0764,2.496286,81.78851
2.544243,59.34318,2.544243,1003.614,2.544243,84.22988
2.592197,60.94093,2.592197,1098.026,2.592197,87.72874
2.640152,54.21378,2.640152,1173.946,2.640152,67.51495
2.688105,45.50774,2.688105,1221.605,2.688105,64.82529
2.736055,43.76371,2.736055,1251.331,2.736055,59.59081
2.784004,38.16596,2.784004,1322.205,2.784004,67.92184
2.831951,35.47257,2.831951,1435.488,2.831951,84.81839
2.879896,36.24051,2.879896,1582.083,2.879896,83.0046
2.927839,39.39241,2.927839,1777.516,2.927839,92.15632
2.97578,51.20394,2.97578,2028.815,2.97578,99.12414
3.02372,50.57524,3.02372,2272.187,3.02372,123.6943
3.071657,60.9353,3.071657,2561.013,3.071657,122.1402
3.119595,75.03797,3.119595,2958.564,3.119595,136.3586
3.16753,78.6104,3.16753,3640.106,3.16753,128.0552
3.215464,94.60619,3.215464,4994.342,3.215464,149.7586
3.263395,87.30661,3.263395,7797.393,3.263395,174.9172
3.311325,95.0014,3.311325,12899.58,3.311325,228.2092
3.359253,84.69761,3.359253,20877.3,3.359253,280.7816
3.407179,92.62729,3.407179,31336.78,3.407179,356.6942
3.455103,95.38116,3.455103,42091.69,3.455103,519.8759
3.503027,93.30943,3.503027,50231.14,3.503027,798.3311
3.550949,85.18706,3.550949,53412.45,3.550949,1240.812
3.598869,94.65401,3.598869,51813.7,3.598869,1854.032
3.646788,121.2096,3.646788,47424.89,3.646788,2632.379
3.694704,168.9691,3.694704,42411.63,3.694704,3480.586
3.742619,280.5513,3.742619,37712.7,3.742619,4215.352
3.790531,424.9719,3.790531,33807.89,3.790531,4742.77
3.838444,618.5021,3.838444,30691.08,3.838444,5076.352
3.886354,829.6456,3.886354,28071.98,3.886354,5258.588
3.934263,1087.52,3.934263,25833.38,3.934263,5230.957
3.98217,1362.391,3.98217,23871.41,3.98217,5039.926
4.030075,1577.127,4.030075,22163.67,4.030075,4758.273
4.077978,1707.603,4.077978,20445.64,4.077978,4460.129
4.125879,1718.176,4.125879,18795.66,4.125879,4131.536
4.17378,1649.761,4.17378,17298.35,4.17378,3799.513
4.22168,1569.415,4.22168,16185.53,4.22168,3498.515
4.269577,1504.669,4.269577,15378.36,4.269577,3247.57
4.317472,1478.001,4.317472,14680.28,4.317472,3055.177
4.365366,1485.287,4.365366,13966.92,4.365366,2879.455
4.413258,1446.018,4.413258,13226.47,4.413258,2729.825
4.461149,1345.781,4.461149,12511.71,4.461149,2641.931
4.509039,1224.518,4.509039,11882.32,4.509039,2585.894
4.556927,1095.498,4.556927,11327.67,4.556927,2550.483
4.604813,1008.435,4.604813,10857.93,4.604813,2458.812
4.652697,988.0295,4.652697,10441.03,4.652697,2346.632
4.700579,1034.423,4.700579,10072.79,4.700579,2208.439
4.748461,1074.308,4.748461,9640.265,4.748461,2073.982
4.796341,1091.44,4.796341,9174.731,4.796341,1933.915
4.844219,1062.918,4.844219,8627.266,4.844219,1821.805
4.892096,1020.685,4.892096,8111.447,4.892096,1791.425
4.93997,968.5148,4.93997,7717.651,4.93997,1801.393
4.987844,925.7468,4.987844,7486.397,4.987844,1791.285
5.035717,914.0042,5.035717,7327.506,5.035717,1810.078
5.083588,890.353,5.083588,7195.417,5.083588,1862.579
5.131456,846.0942,5.131456,7103.183,5.131456,1888.536
5.179323,808.3812,5.179323,7007.598,5.179323,1860.48
5.22719,796.6723,5.22719,6831.222,5.22719,1768.556
5.275055,806.9634,5.275055,6686.318,5.275055,1621.437
5.322918,777.3854,5.322918,6612.307,5.322918,1507.938
5.370779,732.488,5.370779,6522.163,5.370779,1424.559
5.41864,668.3404,5.41864,6280.331,5.41864,1391.961
5.466499,652.5781,5.466499,6029.324,5.466499,1376.372
5.514357,671.6568,5.514357,5795.199,5.514357,1376.809
5.562212,689.4051,5.562212,5580.817,5.562212,1355.326
5.610065,701.1829,5.610065,5424.376,5.610065,1319.639
5.657919,712.1125,5.657919,5321.024,5.657919,1257.552
5.70577,760.4304,5.70577,5307.686,5.70577,1213.34
